id_restaurante,nombre,n_resenas,valoracion_google,avg_estrellas_modelo,pct_positivo,pct_neutro,pct_negativo,n_resenas_negativas,n_baja_confianza,estrellas_5,estrellas_4,estrellas_3,estrellas_2,estrellas_1,servicio_menciones,comida_menciones,ambiente_menciones,precio_menciones,velocidad_menciones,ruido_menciones,limpieza_menciones,servicio_pct,comida_pct,ambiente_pct,precio_pct,velocidad_pct,ruido_pct,limpieza_pct,servicio_pos,comida_pos,ambiente_pos,precio_pos,velocidad_pos,ruido_pos,limpieza_pos,servicio_neg,comida_neg,ambiente_neg,precio_neg,velocidad_neg,ruido_neg,limpieza_neg,servicio_avg_stars,comida_avg_stars,ambiente_avg_stars,precio_avg_stars,velocidad_avg_stars,ruido_avg_stars,limpieza_avg_stars,servicio_rep,comida_rep,ambiente_rep,precio_rep,velocidad_rep,ruido_rep,limpieza_rep,top5_platos,personal_destacado,terminos_tfidf
1,Los Montes de Galicia,90,4.8,4.844,97.8,1.1,1.1,1,16,79,9,1,1,0,82,81,20,4,5,1,0,91.1,90.0,22.2,4.4,5.6,1.1,0.0,80,79,20,3,5,1,0,1,1,0,0,0,0,0,4.83,4.83,4.9,4.0,4.8,5.0,,True,True,True,False,False,False,False,"pulpo(9), buñuelos de bacalao(6), lomo bajo(5), postre(5), lasaña de merluza(4)","Manuel(38), Ayoub(17), Anthony(8), Alex(5), Pedro(4)","comida, manuel, servicio, atención, trato"
2,Kathmandu Tandoori House,90,4.9,4.756,94.4,1.1,4.4,4,15,81,4,1,0,4,55,76,6,15,15,0,2,61.1,84.4,6.7,16.7,16.7,0.0,2.2,54,74,5,14,14,0,2,0,1,0,1,0,0,0,4.91,4.88,4.67,4.67,4.87,,5.0,True,True,False,True,True,False,False,"tikka masala(20), comida india(18), biryani(7), cordero(6)",,"comida, pollo, buena, barajas, servicio"
3,Grama Lounge,90,4.8,4.667,93.3,0.0,6.7,6,16,75,9,0,3,3,69,52,23,6,10,5,2,76.7,57.8,25.6,6.7,11.1,5.6,2.2,64,49,22,6,8,5,2,5,3,1,0,2,0,0,4.62,4.69,4.74,4.83,4.4,5.0,4.5,True,True,True,False,True,False,False,"arepas(9), comida venezolana(6), tequeños(5), bebidas(5), tostones(4)","Gianfranco(30), Luis(9)","comida, atención, excelente, junior, gianfranco"
4,Sakale,90,4.8,4.789,95.6,0.0,4.4,4,8,81,5,0,2,2,63,68,17,6,9,10,0,70.0,75.6,18.9,6.7,10.0,11.1,0.0,61,65,17,3,8,10,0,2,3,0,3,1,0,0,4.86,4.78,4.94,3.33,4.56,5.0,,True,True,True,False,False,True,False,"cócteles(7), sushi(5)","Osiris(18), Emily(10), Jesús(6), Emely(6)","comida, sushi, alejandro, atención, buena"
5,Zenith Caffè - Valverde,93,4.8,4.505,89.2,1.1,9.7,9,14,71,12,1,4,5,70,76,13,10,21,4,4,75.3,81.7,14.0,10.8,22.6,4.3,4.3,69,73,13,8,16,2,4,0,2,0,2,4,2,0,4.8,4.75,4.77,4.2,4.24,3.25,4.75,True,True,True,True,True,False,False,brunch de madrid(7),"Jesús(11), Karina(7)","comida, lugar, servicio, atención, buena"
6,Tabernas El Sur,93,4.7,4.688,94.6,2.2,3.2,3,16,75,13,2,0,3,65,67,28,9,8,8,0,69.9,72.0,30.1,9.7,8.6,8.6,0.0,64,66,28,9,8,8,0,0,0,0,0,0,0,0,4.83,4.81,4.71,4.56,4.88,5.0,,True,True,True,False,False,False,False,"lomo bajo(4), paella de marisco(3), risotto(3), huevos rotos(3), solomillo de cerdo(3)","Jhoan(18), Franco(13), Gusneider(5), Johan(4)","comida, excelente, servicio, jhoan, ambiente"
7,Taberna El Sur De Huertas,93,4.8,4.591,91.4,1.1,7.5,7,16,76,9,1,1,6,67,71,23,15,11,5,1,72.0,76.3,24.7,16.1,11.8,5.4,1.1,65,67,23,15,10,5,1,2,3,0,0,1,0,0,4.79,4.7,4.87,4.8,4.36,4.8,5.0,True,True,True,True,True,False,False,"pulpo(6), paella de mariscos(5), risotto(5), bacalao(3), gambas(3)","Osman(10), Peter(6)","comida, buena, excelente, atención, camareros"
8,Taberna Más Al Sur,93,4.7,4.656,92.5,1.1,6.5,6,10,80,6,1,0,6,70,76,24,15,8,3,1,75.3,81.7,25.8,16.1,8.6,3.2,1.1,68,72,23,15,7,3,1,2,3,1,0,1,0,0,4.83,4.74,4.75,4.87,4.25,5.0,5.0,True,True,True,True,False,False,False,"croquetas(6), sangría(4), vino(4)","Carlos(12), Eric(8), Andrés(6), Erick(6), Erik(4)","comida, excelente, amable, servicio, buena"
9,Inclán Brutal Bar,90,4.7,4.622,90.0,3.3,6.7,6,18,73,8,3,4,2,67,57,29,9,3,2,0,74.4,63.3,32.2,10.0,3.3,2.2,0.0,62,50,25,5,2,2,0,4,4,2,4,1,0,0,4.69,4.54,4.48,3.56,3.67,4.5,,True,True,True,False,False,False,False,"bebidas(11), zamburiñas(5), risotto(4)","David(5), Francisco(5), Alex(5), Lucho(4), Heimy(4)","comida, servicio, experiencia, lugar, excelente"
10,SteakBurger Gran Vía 16,96,4.7,3.479,60.4,4.2,35.4,34,16,47,11,4,9,25,66,60,18,15,22,2,4,68.8,62.5,18.8,15.6,22.9,2.1,4.2,47,42,15,12,12,2,2,18,14,2,3,9,0,2,3.85,3.9,4.33,4.2,3.27,4.0,2.75,True,True,True,True,True,False,False,"hamburguesa(13), carne(11), queso(5)",Melvin(18),"comida, servicio, buena, excelente, hamburguesas"
